NAME / RANK,0,UP,FPN,FPC,FPK,FPQ,FPL,MP,IP,EP,AC,CP,LEAD,SOLL II JP SEAT,SOLL II LT SEAT,SOLL II RT SEAT,SPECIAL AIRLIFT PILOT (1SAP)
10070,IP B1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
10014,IP BZ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
10021,IP BZ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
10005,IPA2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10004,MP C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10007,MP C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10029,MP C5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
10084,MP C5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
10086,MP CR,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
10091,MP CR,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
10026,MP CZ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
10082,UP A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
